sample	speciesID	freq
21MD0001	OPHELO	4
21MD0001	ONCTSH	15
21MD0001	SEBALA	24
21MD0001	ONCMYK	32
21MD0001	PHOLAR	47
21MD0001	THECHA	69
21MD0001	CLUPAL	327
21MD0001	JORZON	422
21MD0001	HEXDEC	539
21MD0001	NAUOCU	604
21MD0001	HEMSPI	1467
21MD0001	AULFLA	23553
21MD0002	LIPFUC	4
21MD0002	SEBALA	6
21MD0002	RAJRHI	7
21MD0002	PARVET	9
21MD0002	SEBAST	9
21MD0002	ONCKIS	28
21MD0002	HEXDEC	31
21MD0002	PHOLAR	233
21MD0002	CLUPAL	355
21MD0002	ARTHAR	746
21MD0002	AULFLA	26168
21MD0003	PARVET	4
21MD0003	AULFLA	12
21MD0003	RAJRHI	14
21MD0003	ONCKIS	18
21MD0003	HEXDEC	27
21MD0003	THECHA	30
21MD0003	LIPFUC	986
21MD0003	ENTDOF	4992
21MD0003	OPHELO	5685
21MD0003	PHOLAR	97632
21MD0004	OPHELO	5
21MD0004	AULFLA	6
21MD0004	CLUPAL	8
21MD0004	PSEMEL	16
21MD0004	ONCTSH	27
21MD0004	HEXDEC	35
21MD0004	PARVET	17908
21MD0004	PHOLAR	19578
21MD0004	SEBAST	55048
21MD0005	AULFLA	3
21MD0005	HEXLAG	8
21MD0005	THECHA	28
21MD0005	ONCKIS	40
21MD0005	HEXDEC	48
21MD0005	LIPFUC	640
21MD0005	ENTDOF	2140
21MD0005	OPHELO	10071
21MD0005	PHOLAR	63083
21MD0006	ARTCOR	8
21MD0006	HIPELA	10
21MD0006	GLYZAC	12
21MD0006	ONCKET	22
21MD0006	ONCMYK	45
21MD0006	SCOMAR	60
21MD0006	HEXLAG	66
21MD0006	ONCKIS	114
21MD0006	AULFLA	171
21MD0006	GADMAC	179
21MD0006	SEBELO	196
21MD0006	PARVET	222
21MD0006	THECHA	232
21MD0006	HEXDEC	373
21MD0006	SQUACA	410
21MD0006	CLUPAL	1276
21MD0006	PHOLAR	114039
21MD0007	AULFLA	3
21MD0007	ONCKET	10
21MD0007	RAJRHI	12
21MD0007	SEBALA	12
21MD0007	HEXDEC	24
21MD0007	ONCKIS	64
21MD0007	THECHA	67
21MD0007	LIPFUC	160
21MD0007	CLUPAL	648
21MD0007	ENTDOF	685
21MD0007	OPHELO	5207
21MD0007	PHOLAR	80032
21MD0008	HYDCOL	6
21MD0008	ONCKIS	14
21MD0008	SEBAST	16
21MD0008	EUMJUB	60
21MD0008	THECHA	90
21MD0008	OPHELO	2300
21MD0008	HEMSPI	3153
21MD0008	PHOLAR	21618
21MD0009	RAJRHI	9
21MD0009	ONCKET	12
21MD0009	SEBALA	12
21MD0009	HIPELA	18
21MD0009	SEBELO	22
21MD0009	AULFLA	27
21MD0009	ONCKIS	28
21MD0009	HEXDEC	69
21MD0009	PHOLAR	814
21MD0009	CITSOR	13171
21MD0009	SEBAST	17972
21MD0009	PARVET	36413
21MD0010	HYDCOL	3
21MD0010	BRAFRE	4
21MD0010	RAJRHI	5
21MD0010	SEBALA	6
21MD0010	THECHA	22
21MD0010	HIPELA	26
21MD0010	ONCKIS	26
21MD0010	AULFLA	27
21MD0010	HEXDEC	58
21MD0010	PHOLAR	64809
21MD0011	ONCTSH	3
21MD0011	THECHA	4
21MD0011	SEBALA	4
21MD0011	ONCKIS	6
21MD0011	HIPELA	10
21MD0011	HEXDEC	20
21MD0011	EUMJUB	180
21MD0011	PHOLAR	24344
21MD0011	CLUPAL	69298
21MD0012	PSEMEL	32
21MD0013	LIPFUC	4
21MD0013	HIPELA	10
21MD0013	SEBALA	14
21MD0013	SCOMAR	22
21MD0013	ONCMYK	24
21MD0013	AULFLA	60
21MD0013	GADMAC	68
