sample	speciesID	freq
21MD0001	ONCGOR	0
21MD0001	ONCKET	23
21MD0001	ONCKIS	14
21MD0001	ONCMYK	14
21MD0001	ONCNER	0
21MD0001	ONCTSH	15
21MD0001	SALTRU	0
21MD0002	ONCGOR	0
21MD0002	ONCKET	3
21MD0002	ONCKIS	0
21MD0002	ONCMYK	0
21MD0002	ONCNER	0
21MD0002	ONCTSH	9
21MD0002	SALTRU	0
21MD0003	ONCGOR	0
21MD0003	ONCKET	9
21MD0003	ONCKIS	47
21MD0003	ONCMYK	18
21MD0003	ONCNER	0
21MD0003	ONCTSH	36
21MD0003	SALTRU	0
21MD0004	ONCGOR	0
21MD0004	ONCKET	2
21MD0004	ONCKIS	8
21MD0004	ONCMYK	8
21MD0004	ONCNER	0
21MD0004	ONCTSH	0
21MD0004	SALTRU	0
21MD0005	ONCGOR	0
21MD0005	ONCKET	0
21MD0005	ONCKIS	0
21MD0005	ONCMYK	6
21MD0005	ONCNER	0
21MD0005	ONCTSH	8
21MD0005	SALTRU	0
21MD0006	ONCGOR	0
21MD0006	ONCKET	0
21MD0006	ONCKIS	0
21MD0006	ONCMYK	8
21MD0006	ONCNER	0
21MD0006	ONCTSH	0
21MD0006	SALTRU	0
21MD0007	ONCGOR	0
21MD0007	ONCKET	0
21MD0007	ONCKIS	0
21MD0007	ONCMYK	0
21MD0007	ONCNER	0
21MD0007	ONCTSH	4
21MD0007	SALTRU	0
21MD0008	ONCGOR	0
21MD0008	ONCKET	0
21MD0008	ONCKIS	0
21MD0008	ONCMYK	0
21MD0008	ONCNER	0
21MD0008	ONCTSH	21
21MD0008	SALTRU	0
21MD0009	ONCGOR	0
21MD0009	ONCKET	2
21MD0009	ONCKIS	5
21MD0009	ONCMYK	0
21MD0009	ONCNER	0
21MD0009	ONCTSH	22
21MD0009	SALTRU	0
21MD0010	ONCGOR	0
21MD0010	ONCKET	0
21MD0010	ONCKIS	0
21MD0010	ONCMYK	0
21MD0010	ONCNER	0
21MD0010	ONCTSH	12
21MD0010	SALTRU	0
21MD0011	ONCGOR	0
21MD0011	ONCKET	0
21MD0011	ONCKIS	23
21MD0011	ONCMYK	11
21MD0011	ONCNER	0
21MD0011	ONCTSH	0
21MD0011	SALTRU	0
21MD0012	ONCGOR	0
21MD0012	ONCKET	21
21MD0012	ONCKIS	15
21MD0012	ONCMYK	6
21MD0012	ONCNER	0
21MD0012	ONCTSH	29
21MD0012	SALTRU	0
21MD0013	ONCGOR	0
21MD0013	ONCKET	3
21MD0013	ONCKIS	17
21MD0013	ONCMYK	0
21MD0013	ONCNER	0
21MD0013	ONCTSH	15
21MD0013	SALTRU	0
21MD0014	ONCGOR	0
21MD0014	ONCKET	0
21MD0014	ONCKIS	0
21MD0014	ONCMYK	0
21MD0014	ONCNER	0
21MD0014	ONCTSH	24
21MD0014	SALTRU	0
21MD0015	ONCGOR	0
21MD0015	ONCKET	0
21MD0015	ONCKIS	0
21MD0015	ONCMYK	2
21MD0015	ONCNER	0
21MD0015	ONCTSH	0
21MD0015	SALTRU	0
21MD0016	ONCGOR	0
21MD0016	ONCKET	29
21MD0016	ONCKIS	944
21MD0016	ONCMYK	0
21MD0016	ONCNER	0
21MD0016	ONCTSH	0
21MD0016	SALTRU	0
21MD0017	ONCGOR	0
21MD0017	ONCKET	4
21MD0017	ONCKIS	16
21MD0017	ONCMYK	0
21MD0017	ONCNER	0
21MD0017	ONCTSH	20
21MD0017	SALTRU	0
21MD0018	ONCGOR	0
21MD0018	ONCKET	6
