"","sample","species","count","perc16s2","species_name","common","sample.y","site","Collection.Date","day","month","year"
"1","21MD0001","JORZON",422,1.56807372175981,"Jordania zonope","Longfin_Sculpin","PV_001","Eagle Point",44176,11,12,2020
"2","21MD0001","NAUOCU",604,2.24435196195006,"Nautichthys oculofasciatus","Sailfin_Sculpin","PV_001","Eagle Point",44176,11,12,2020
"3","21MD0001","HEMSPI",1467,5.45109988109394,"Hemilepidotus spinosus","Brown_Irish_Lord","PV_001","Eagle Point",44176,11,12,2020
"4","21MD0001","CLUPAL",327,1.21507134363853,"Clupea pallasii","Pacific_Herring","PV_001","Eagle Point",44176,11,12,2020
"5","21MD0001","AULFLA",23553,87.5185790725327,"Aulorhynchus flavidus","Tube_snout","PV_001","Eagle Point",44176,11,12,2020
"6","21MD0001","HEXDEC",539,2.00282401902497,"Hexagrammos decagrammus","Kelp_Greenling","PV_001","Eagle Point",44176,11,12,2020
"7","21MD0002","CLUPAL",355,1.30184458542667,"Clupea pallasii","Pacific_Herring","PV_002","Eagle Point",44176,11,12,2020
"8","21MD0002","AULFLA",26168,95.9624482012542,"Aulorhynchus flavidus","Tube_snout","PV_002","Eagle Point",44176,11,12,2020
"9","21MD0002","ARTHAR",746,2.73570721331915,"Artedius harringtoni","Scalyhead_Sculpin","PV_002","Eagle Point",44176,11,12,2020
"10","21MD0003","LIPFUC",986,8.45408556975049,"Liparis fucensis","Slipskin_Snailfish","PV_003","Father and Son ",44188,23,12,2020
"11","21MD0003","ENTDOF",4992,42.8020234930978,"Enteroctopus dofleini","Giant_Pacific_Octopus","PV_003","Father and Son ",44188,23,12,2020
"12","21MD0003","OPHELO",5685,48.7438909371517,"Ophiodon elongatus","Lingcod","PV_003","Father and Son ",44188,23,12,2020
"13","21MD0004","PARVET",17908,24.5463018805856,"Parophrys vetulus","English_Sole","PV_004","Father and Son ",44188,23,12,2020
"14","21MD0004","SEBAST",55048,75.4536981194144,"Sebastes sp.","Sebastes sp.","PV_004","Father and Son ",44188,23,12,2020
"15","21MD0005","ENTDOF",2140,16.6524005913937,"Enteroctopus dofleini","Giant_Pacific_Octopus","PV_005","Father and Son ",44188,23,12,2020
"16","21MD0005","OPHELO",10071,78.3674422223951,"Ophiodon elongatus","Lingcod","PV_005","Father and Son ",44188,23,12,2020
"17","21MD0005","LIPFUC",640,4.98015718621119,"Liparis fucensis","Slipskin_Snailfish","PV_005","Father and Son ",44188,23,12,2020
"18","21MD0006","HEXDEC",373,11.1543062200957,"Hexagrammos decagrammus","Kelp_Greenling","PV_006","Father and Son ",44188,23,12,2020
"19","21MD0006","ONCKIS",114,3.40909090909091,"Oncorhynchus kisutch","Coho_Salmon","PV_006","Father and Son ",44188,23,12,2020
"20","21MD0006","ONCMYK",45,1.34569377990431,"Oncorhynchus mykiss","Steelhead","PV_006","Father and Son ",44188,23,12,2020
"21","21MD0006","PARVET",222,6.63875598086124,"Parophrys vetulus","English_Sole","PV_006","Father and Son ",44188,23,12,2020
"22","21MD0006","AULFLA",171,5.11363636363636,"Aulorhynchus flavidus","Tube_snout","PV_006","Father and Son ",44188,23,12,2020
"23","21MD0006","SCOMAR",60,1.79425837320574,"Scorpaenichthys marmoratus","Cabezon","PV_006","Father and Son ",44188,23,12,2020
"24","21MD0006","THECHA",232,6.9377990430622,"Gadus_chalcogrammus","Walleye_Pollock","PV_006","Father and Son ",44188,23,12,2020
"25","21MD0006","HEXLAG",66,1.97368421052632,"Hexagrammos_lagocephalus","Rock_Greenling","PV_006","Father and Son ",44188,23,12,2020
"26","21MD0006","SQUACA",410,12.2607655502392,"Squalus acanthias","Spiny_Dogfish","PV_006","Father and Son ",44188,23,12,2020
"27","21MD0006","SEBELO",196,5.86124401913876,"Sebastes elongatus","Green_Striped_Rockfish","PV_006","Father and Son ",44188,23,12,2020
