"","sample","species","count","percCOI2","species_name","common","sample.y","site","Collection.Date","day","month","year"
"1","21MD0001","ONCKET",23,34.8484848484849,"Oncorhynchus keta","Chum_Salmon","PV_001","Eagle Point",44176,11,12,2020
"2","21MD0001","ONCKIS",14,21.2121212121212,"Oncorhynchus kisutch","Coho_Salmon","PV_001","Eagle Point",44176,11,12,2020
"3","21MD0001","ONCMYK",14,21.2121212121212,"Oncorhynchus mykiss","Steelhead","PV_001","Eagle Point",44176,11,12,2020
"4","21MD0001","ONCTSH",15,22.7272727272727,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_001","Eagle Point",44176,11,12,2020
"5","21MD0002","ONCTSH",9,75,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_002","Eagle Point",44176,11,12,2020
"6","21MD0002","ONCKET",3,25,"Oncorhynchus keta","Chum_Salmon","PV_002","Eagle Point",44176,11,12,2020
"7","21MD0003","ONCMYK",18,16.3636363636364,"Oncorhynchus mykiss","Steelhead","PV_003","Father and Son ",44188,23,12,2020
"8","21MD0003","ONCTSH",36,32.7272727272727,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_003","Father and Son ",44188,23,12,2020
"9","21MD0003","ONCKET",9,8.18181818181818,"Oncorhynchus keta","Chum_Salmon","PV_003","Father and Son ",44188,23,12,2020
"10","21MD0003","ONCKIS",47,42.7272727272727,"Oncorhynchus kisutch","Coho_Salmon","PV_003","Father and Son ",44188,23,12,2020
"11","21MD0004","ONCKIS",8,44.4444444444444,"Oncorhynchus kisutch","Coho_Salmon","PV_004","Father and Son ",44188,23,12,2020
"12","21MD0004","ONCKET",2,11.1111111111111,"Oncorhynchus keta","Chum_Salmon","PV_004","Father and Son ",44188,23,12,2020
"13","21MD0004","ONCMYK",8,44.4444444444444,"Oncorhynchus mykiss","Steelhead","PV_004","Father and Son ",44188,23,12,2020
"14","21MD0005","ONCTSH",8,57.1428571428571,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_005","Father and Son ",44188,23,12,2020
"15","21MD0005","ONCMYK",6,42.8571428571429,"Oncorhynchus mykiss","Steelhead","PV_005","Father and Son ",44188,23,12,2020
"16","21MD0006","ONCMYK",8,100,"Oncorhynchus mykiss","Steelhead","PV_006","Father and Son ",44188,23,12,2020
"17","21MD0007","ONCTSH",4,100,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_007","Father and Son ",44188,23,12,2020
"18","21MD0008","ONCTSH",21,100,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_008","Cooke Rock",44188,23,12,2020
"19","21MD0009","ONCTSH",22,75.8620689655172,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_009","Cooke Rock",44188,23,12,2020
"20","21MD0009","ONCKET",2,6.89655172413793,"Oncorhynchus keta","Chum_Salmon","PV_009","Cooke Rock",44188,23,12,2020
"21","21MD0009","ONCKIS",5,17.2413793103448,"Oncorhynchus kisutch","Coho_Salmon","PV_009","Cooke Rock",44188,23,12,2020
"22","21MD0010","ONCTSH",12,100,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_010","Cooke Rock",44188,23,12,2020
"23","21MD0011","ONCKIS",23,67.6470588235294,"Oncorhynchus kisutch","Coho_Salmon","PV_011","Waadah Island ",44215,19,1,2021
"24","21MD0011","ONCMYK",11,32.3529411764706,"Oncorhynchus mykiss","Steelhead","PV_011","Waadah Island ",44215,19,1,2021
"25","21MD0012","ONCMYK",6,8.45070422535211,"Oncorhynchus mykiss","Steelhead","PV_012","Waadah Island ",44215,19,1,2021
"26","21MD0012","ONCTSH",29,40.8450704225352,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_012","Waadah Island ",44215,19,1,2021
"27","21MD0012","ONCKET",21,29.5774647887324,"Oncorhynchus keta","Chum_Salmon","PV_012","Waadah Island ",44215,19,1,2021
"28","21MD0012","ONCKIS",15,21.1267605633803,"Oncorhynchus kisutch","Coho_Salmon","PV_012","Waadah Island ",44215,19,1,2021
"29","21MD0013","ONCKIS",17,48.5714285714286,"Oncorhynchus kisutch","Coho_Salmon","PV_013","Waadah Island ",44215,19,1,2021
"30","21MD0013","ONCKET",3,8.57142857142857,"Oncorhynchus keta","Chum_Salmon","PV_013","Waadah Island ",44215,19,1,2021
"31","21MD0013","ONCTSH",15,42.8571428571429,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_013","Waadah Island ",44215,19,1,2021
"32","21MD0014","ONCTSH",24,100,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_014","Waadah Island ",44215,19,1,2021
"33","21MD0015","ONCMYK",2,100,"Oncorhynchus mykiss","Steelhead","PV_015","Waadah Island ",44215,19,1,2021
"34","21MD0016","ONCKET",29,2.98047276464543,"Oncorhynchus keta","Chum_Salmon","PV_016","Waadah Island ",44215,19,1,2021
"35","21MD0016","ONCKIS",944,97.0195272353546,"Oncorhynchus kisutch","Coho_Salmon","PV_016","Waadah Island ",44215,19,1,2021
"36","21MD0017","ONCKIS",16,40,"Oncorhynchus kisutch","Coho_Salmon","PV_017","Waadah Island ",44215,19,1,2021
"37","21MD0017","ONCKET",4,10,"Oncorhynchus keta","Chum_Salmon","PV_017","Waadah Island ",44215,19,1,2021
"38","21MD0017","ONCTSH",20,50,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_017","Waadah Island ",44215,19,1,2021
"39","21MD0018","ONCKIS",6,22.2222222222222,"Oncorhynchus kisutch","Coho_Salmon","PV_018","Waddah Island",44216,20,1,2021
"40","21MD0018","ONCMYK",8,29.6296296296296,"Oncorhynchus mykiss","Steelhead","PV_018","Waddah Island",44216,20,1,2021
"41","21MD0018","ONCTSH",7,25.9259259259259,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_018","Waddah Island",44216,20,1,2021
"42","21MD0018","ONCKET",6,22.2222222222222,"Oncorhynchus keta","Chum_Salmon","PV_018","Waddah Island",44216,20,1,2021
"43","21MD0019","ONCTSH",23,82.1428571428571,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_019","Waddah Island",44216,20,1,2021
"44","21MD0019","ONCKET",5,17.8571428571429,"Oncorhynchus keta","Chum_Salmon","PV_019","Waddah Island",44216,20,1,2021
"45","21MD0020","ONCTSH",9,100,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_020","Waddah Island",44216,20,1,2021
"46","21MD0021","ONCKIS",11,15.0684931506849,"Oncorhynchus kisutch","Coho_Salmon","PV_021","Waddah Island",44216,20,1,2021
"47","21MD0021","ONCTSH",46,63.013698630137,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_021","Waddah Island",44216,20,1,2021
"48","21MD0021","ONCMYK",4,5.47945205479452,"Oncorhynchus mykiss","Steelhead","PV_021","Waddah Island",44216,20,1,2021
"49","21MD0021","ONCKET",12,16.4383561643836,"Oncorhynchus keta","Chum_Salmon","PV_021","Waddah Island",44216,20,1,2021
"50","21MD0022","ONCKIS",13,100,"Oncorhynchus kisutch","Coho_Salmon","PV_022","Waddah Island",44216,20,1,2021
"51","21MD0023","ONCKET",5,21.7391304347826,"Oncorhynchus keta","Chum_Salmon","PV_023","Waddah Island",44216,20,1,2021
"52","21MD0023","ONCMYK",18,78.2608695652174,"Oncorhynchus mykiss","Steelhead","PV_023","Waddah Island",44216,20,1,2021
"53","21MD0025","ONCKIS",11,34.375,"Oncorhynchus kisutch","Coho_Salmon","PV_024","Waddah Island",44216,20,1,2021
"54","21MD0025","ONCKET",7,21.875,"Oncorhynchus keta","Chum_Salmon","PV_024","Waddah Island",44216,20,1,2021
"55","21MD0025","ONCTSH",14,43.75,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_024","Waddah Island",44216,20,1,2021
"56","21MD0026","ONCMYK",25,100,"Oncorhynchus mykiss","Steelhead","PV_025","Waddah Island",44216,20,1,2021
"57","21MD0027","ONCKIS",8,100,"Oncorhynchus kisutch","Coho_Salmon","PV_026","Waddah Island",44218,22,1,2021
"58","21MD0028","ONCTSH",10,100,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_027","Wa'atch Point",44224,28,1,2021
"59","21MD0029","ONCTSH",27,100,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_028","Wa'atch Point",44224,28,1,2021
"60","21MD0030","ONCKIS",22,100,"Oncorhynchus kisutch","Coho_Salmon","PV_029","Wa'atch Point",44235,8,2,2021
"61","21MD0031","ONCKET",11,22,"Oncorhynchus keta","Chum_Salmon","PV_030","Wa'atch Point",44235,8,2,2021
"62","21MD0031","ONCTSH",24,48,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_030","Wa'atch Point",44235,8,2,2021
"63","21MD0031","ONCKIS",15,30,"Oncorhynchus kisutch","Coho_Salmon","PV_030","Wa'atch Point",44235,8,2,2021
"64","21MD0032","ONCKET",4,44.4444444444444,"Oncorhynchus keta","Chum_Salmon","PV_031","Wa'atch Point",44235,8,2,2021
"65","21MD0032","ONCTSH",5,55.5555555555556,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_031","Wa'atch Point",44235,8,2,2021
"66","21MD0033","ONCKET",3,27.2727272727273,"Oncorhynchus keta","Chum_Salmon","PV_032","Wa'atch Point",44235,8,2,2021
"67","21MD0033","ONCMYK",8,72.7272727272727,"Oncorhynchus mykiss","Steelhead","PV_032","Wa'atch Point",44235,8,2,2021
"68","21MD0034","ONCKIS",40,95.2380952380952,"Oncorhynchus kisutch","Coho_Salmon","PV_033","Wa'atch Point",44235,8,2,2021
"69","21MD0034","ONCKET",2,4.76190476190476,"Oncorhynchus keta","Chum_Salmon","PV_033","Wa'atch Point",44235,8,2,2021
"70","21MD0035","ONCTSH",11,61.1111111111111,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_034","Wa'atch Point",44251,24,2,2021
"71","21MD0035","ONCKIS",7,38.8888888888889,"Oncorhynchus kisutch","Coho_Salmon","PV_034","Wa'atch Point",44251,24,2,2021
"72","21MD0036","ONCTSH",11,73.3333333333333,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_035","Wa'atch Point",44251,24,2,2021
"73","21MD0036","ONCKET",4,26.6666666666667,"Oncorhynchus keta","Chum_Salmon","PV_035","Wa'atch Point",44251,24,2,2021
"74","21MD0037","ONCKET",4,40,"Oncorhynchus keta","Chum_Salmon","PV_036","Wa'atch Point",44251,24,2,2021
"75","21MD0037","ONCMYK",6,60,"Oncorhynchus mykiss","Steelhead","PV_036","Wa'atch Point",44251,24,2,2021
"76","21MD0039","ONCKIS",9,25,"Oncorhynchus kisutch","Coho_Salmon","PV_038","Wa'atch Point",44251,24,2,2021
"77","21MD0039","ONCMYK",16,44.4444444444444,"Oncorhynchus mykiss","Steelhead","PV_038","Wa'atch Point",44251,24,2,2021
"78","21MD0039","ONCKET",6,16.6666666666667,"Oncorhynchus keta","Chum_Salmon","PV_038","Wa'atch Point",44251,24,2,2021
"79","21MD0039","ONCTSH",5,13.8888888888889,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_038","Wa'atch Point",44251,24,2,2021
"80","21MD0040","ONCKIS",7,58.3333333333333,"Oncorhynchus kisutch","Coho_Salmon","PV_039","Wa'atch Point",44251,24,2,2021
"81","21MD0040","ONCKET",5,41.6666666666667,"Oncorhynchus keta","Chum_Salmon","PV_039","Wa'atch Point",44251,24,2,2021
"82","21MD0041","ONCMYK",13,20,"Oncorhynchus mykiss","Steelhead","PV_040","Wa'atch Point",44251,24,2,2021
"83","21MD0041","ONCKET",4,6.15384615384615,"Oncorhynchus keta","Chum_Salmon","PV_040","Wa'atch Point",44251,24,2,2021
"84","21MD0041","ONCTSH",48,73.8461538461539,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_040","Wa'atch Point",44251,24,2,2021
"85","21MD0042","ONCTSH",142,80.6818181818182,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_041","Wa'atch Point",44251,24,2,2021
"86","21MD0042","ONCKET",14,7.95454545454545,"Oncorhynchus keta","Chum_Salmon","PV_041","Wa'atch Point",44251,24,2,2021
"87","21MD0042","ONCMYK",10,5.68181818181818,"Oncorhynchus mykiss","Steelhead","PV_041","Wa'atch Point",44251,24,2,2021
"88","21MD0042","ONCKIS",10,5.68181818181818,"Oncorhynchus kisutch","Coho_Salmon","PV_041","Wa'atch Point",44251,24,2,2021
"89","21MD0043","ONCKIS",81,44.5054945054945,"Oncorhynchus kisutch","Coho_Salmon","PV_042","Waadah Island ",44255,28,2,2021
"90","21MD0043","ONCKET",19,10.4395604395604,"Oncorhynchus keta","Chum_Salmon","PV_042","Waadah Island ",44255,28,2,2021
"91","21MD0043","ONCMYK",24,13.1868131868132,"Oncorhynchus mykiss","Steelhead","PV_042","Waadah Island ",44255,28,2,2021
"92","21MD0043","ONCTSH",58,31.8681318681319,"Oncorhynchus tshawytscha","Chinook_Salmon","PV_042","Waadah Island ",44255,28,2,2021
"93","21MD0044","ONCKET",3,100,"Oncorhynchus keta","Chum_Salmon","EJ_001","Tatoosh Cut",44177,12,12,2020
"94","21MD0045","ONCTSH",214,15.2639087018545,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_002","Tatoosh Cut",44177,12,12,2020
"95","21MD0045","ONCKIS",1059,75.5349500713267,"Oncorhynchus kisutch","Coho_Salmon","EJ_002","Tatoosh Cut",44177,12,12,2020
"96","21MD0045","ONCKET",78,5.56348074179743,"Oncorhynchus keta","Chum_Salmon","EJ_002","Tatoosh Cut",44177,12,12,2020
"97","21MD0045","ONCMYK",51,3.6376604850214,"Oncorhynchus mykiss","Steelhead","EJ_002","Tatoosh Cut",44177,12,12,2020
"98","21MD0047","ONCKIS",369,100,"Oncorhynchus kisutch","Coho_Salmon","EJ_004","Tatoosh Cut",44177,12,12,2020
"99","21MD0049","ONCMYK",4,3.6036036036036,"Oncorhynchus mykiss","Steelhead","EJ_005","Tatoosh Cut",44177,12,12,2020
"100","21MD0049","ONCKIS",58,52.2522522522522,"Oncorhynchus kisutch","Coho_Salmon","EJ_005","Tatoosh Cut",44177,12,12,2020
"101","21MD0049","ONCTSH",45,40.5405405405405,"Oncorhynchus tshawytscha","Chinook_Salmon","EJ_005","Tatoosh Cut",44177,12,12,2020
