sample,WDFW_code,site,Collection Date,day,month,year
PV_001,21MD0001,Eagle Point,44176,11,12,2020
PV_002,21MD0002,Eagle Point,44176,11,12,2020
PV_003,21MD0003,Father and Son ,44188,23,12,2020
PV_004,21MD0004,Father and Son ,44188,23,12,2020
PV_005,21MD0005,Father and Son ,44188,23,12,2020
PV_006,21MD0006,Father and Son ,44188,23,12,2020
PV_007,21MD0007,Father and Son ,44188,23,12,2020
PV_008,21MD0008,Cooke Rock,44188,23,12,2020
PV_009,21MD0009,Cooke Rock,44188,23,12,2020
PV_010,21MD0010,Cooke Rock,44188,23,12,2020
PV_011,21MD0011,Waadah Island ,44215,19,1,2021
PV_012,21MD0012,Waadah Island ,44215,19,1,2021
PV_013,21MD0013,Waadah Island ,44215,19,1,2021
PV_014,21MD0014,Waadah Island ,44215,19,1,2021
PV_015,21MD0015,Waadah Island ,44215,19,1,2021
PV_016,21MD0016,Waadah Island ,44215,19,1,2021
PV_017,21MD0017,Waadah Island ,44215,19,1,2021
PV_018,21MD0018,Waddah Island,44216,20,1,2021
PV_019,21MD0019,Waddah Island,44216,20,1,2021
PV_020,21MD0020,Waddah Island,44216,20,1,2021
PV_021,21MD0021,Waddah Island,44216,20,1,2021
PV_022,21MD0022,Waddah Island,44216,20,1,2021
PV_023,21MD0023,Waddah Island,44216,20,1,2021
PV_024,21MD0025,Waddah Island,44216,20,1,2021
PV_025,21MD0026,Waddah Island,44216,20,1,2021
PV_026,21MD0027,Waddah Island,44218,22,1,2021
PV_027,21MD0028,Wa'atch Point,44224,28,1,2021
PV_028,21MD0029,Wa'atch Point,44224,28,1,2021
PV_029,21MD0030,Wa'atch Point,44235,8,2,2021
PV_030,21MD0031,Wa'atch Point,44235,8,2,2021
PV_031,21MD0032,Wa'atch Point,44235,8,2,2021
PV_032,21MD0033,Wa'atch Point,44235,8,2,2021
PV_033,21MD0034,Wa'atch Point,44235,8,2,2021
PV_034,21MD0035,Wa'atch Point,44251,24,2,2021
PV_035,21MD0036,Wa'atch Point,44251,24,2,2021
PV_036,21MD0037,Wa'atch Point,44251,24,2,2021
